ID,Name,Price_HUF,Registration_date,Age,Kilometers,Fuel_type,Performance_HP,Performance_kW,Cylinder_capacity_cm3,Transmission,Condition,Color,Nr_pictures,Link
368,FORD FOCUS 1.0 EcoBoost ST-line RENDKÍVÜLI. LIMITÁLT AKCIÓ! HSTFS0091510,5800000,2019,1.6660000000001673,15452,Benzin,125,92,999,Manuális,Újszerű,Kék (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_ecoboost_st-line_rendkivuli_limitalt_akcio_hstfs0091510-16205367
369,FORD FOCUS 1.5 TDCI ST-line Black,5690000,2018,2.25,14924,Dízel,120,88,1499,Manuális,Újszerű,Fekete,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_st-line_black-15851255
370,FORD FOCUS 1.5 PFi Business 1500KM-es ÚJ AUTÓ,5599999,2019,0.9160000000001673,1500,Benzin,124,91,1498,Manuális,Újszerű,Kék (metál),10,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_pfi_business_1500km-es_uj_auto-16249003
371,FORD FOCUS 1.5 TDCI Business,5490000,2018,2.0830000000000837,14250,Dízel,120,88,1499,Manuális,Újszerű,Bordó (metál),6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_business-15926836
372,FORD FOCUS 2.0 EcoBoost ST3 Powershift S S ÚJ GUMIK.RECARO ÜLÉSEK.JÓL FELSZERELT,5290000,2016,4.333000000000084,76000,Benzin,250,184,2000,Automata,Kitűnő,Szürke,11,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_2_0_ecoboost_st3_powershift_s_s_uj_gumik_recaro_ulesek_jol_felszerelt-15487233
373,FORD FOCUS 1.5 TDCI ST-line Red,4999000,2018,2.1660000000001673,23500,Dízel,120,88,1499,Manuális,Normál,Piros (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_st-line_red-16256764
374,FORD FOCUS Electric,4990000,2013,6.833000000000084,18000,Elektromos,145,107,NA,Automata,Megkímélt,Szürke (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_electric-15713909
375,FORD FOCUS 1.5 TDCI Technology 38E KM. MAGYARORSZÁGI. SZERVIZKÖNYV,4790000,2018,2.25,38330,Dízel,95,70,1499,Manuális,Normál,null,7,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_technology_38e_km_magyarorszagi_szervizkonyv-16266399
376,FORD FOCUS 1.6 Ti-VCT Titanium Titanium Plus,4700000,2017,3.4160000000001673,24457,Benzin,125,92,1596,Manuális,Újszerű,Kék,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_titanium_titanium_plus-15947828
377,FORD FOCUS 1.5 EcoBoost ST-line Black Szervizk.!45.558km!Garancia!,4690000,2018,2.75,45558,Benzin,150,110,1499,Manuális,Kitűnő,Fekete (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_ecoboost_st-line_black_szervizk_45_558kmgarancia-16189448
378,FORD FOCUS 1.5 EcoBoost Titanium (Automata) 117e.km!,4599000,2016,4.25,117028,Benzin,150,110,1499,Automata,Normál,Kék,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_ecoboost_titanium_automata_117e_km-16272461
379,FORD FOCUS 1.5 TDCI ST-line Black 131 KM HIBÁTLAN ÁLLAPOT . NAVI . KAMERA,4499999,2017,3.5830000000000837,131000,Dízel,120,88,1499,Manuális,Kitűnő,null,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_st-line_black_131_km_hibatlan_allapot_navi_kamera-16213814
380,FORD FOCUS 1.6 Ti-VCT Technology MO.I-GARANCIÁLIS-21.650 KM-1.TULAJ,4490000,2017,3.4160000000001673,21650,Benzin,125,92,1596,Manuális,Újszerű,Barna (metál),3,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_technology_mo_i-garancialis-21_650_km-1_tulaj-16303746
381,FORD FOCUS 1.5 EcoBoost ST-line MAGYARORSZÁGI VEZETETT SZERVIZKÖNYVES!!,4390000,2016,3.9160000000001673,61800,Benzin,150,110,1499,Manuális,Sérülésmentes,Sötétszürke (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_ecoboost_st-line_magyarorszagi_vezetett_szervizkonyves-16295940
382,FORD FOCUS 2.0 Ecoboost ST3,4300000,2013,7.583000000000084,105005,Benzin,250,184,1999,Manuális,Sérülésmentes,Fehér,5,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_2_0_ecoboost_st3-16286573
383,FORD FOCUS ELEKTROMOS.FULL EXTRA.EXTRA SZÉP.28000KM,4290000,2014,6,28000,Elektromos,145,107,NA,Automata,Újszerű,null,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_elektromos_full_extra_extra_szep_28000km-16285815
384,FORD FOCUS 1.6 Ti-VCT Technology,4290000,2017,3,14720,Benzin,125,92,1596,Manuális,Normál,null,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_technology-16051378
385,FORD FOCUS 1.0 EcoBoost Trend MO-i .első tulajtól.53.000Km!,4289000,2018,2.1660000000001673,53000,Benzin,125,92,999,Manuális,Sérülésmentes,Fehér,11,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_ecoboost_trend_mo-i_elso_tulajtol_53_000km-16262120
386,FORD FOCUS 1.5 TDCI Technology,4199000,2018,2.5830000000000837,79626,Dízel,120,88,1499,Manuális,Megkímélt,Fehér,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_technology-15983209
387,FORD FOCUS 1.6 Ti-VCT Technology ÁFA-s!! M.o-i!!!,4190000,2018,2.5830000000000837,69580,Benzin,125,92,1596,Manuális,Normál,Fehér,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_technology_afa-s_m_o-i-15633340
388,FORD FOCUS 1.6 Ti-VCT Trend Plus szervizelt autó,2290000,2011,9.416000000000167,132700,Benzin,125,92,1596,Manuális,Normál,null,9,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_trend_plus_szervizelt_auto-16310217
389,FORD FOCUS 1.6 Ti-VCT Technology Mo-i! Szervizkönyves,4190000,2018,2.5830000000000837,89333,Benzin,125,92,1596,Manuális,Kitűnő,Szürke (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_technology_mo-i_szervizkonyves-15697994
390,FORD FOCUS 1.6 Ti-VCT Technology Mo-i! Szervizkönyves!Áfá-s,4190000,2018,2.5830000000000837,81481,Benzin,125,92,1596,Manuális,Kitűnő,Fekete (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_technology_mo-i_szervizkonyvesafa-s-15747154
391,FORD FOCUS 1.5 TDCI ST-line 112.e.Km Áfás Magyaro-i kmGarancia!,4190000,2017,3.75,112384,Dízel,120,88,1499,Manuális,Megkímélt,Fehér,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_st-line_112_e_km_afas_magyaro-i_kmgarancia-16290606
392,FORD FOCUS 1.6 Ti-VCT Titanium 98Ekm!Magyar.vez.szervízkönyv!,4150000,2016,4.25,98709,Benzin,125,92,1596,Manuális,Megkímélt,Fehér,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_titanium_98ekmmagyar_vez_szervizkonyv-16158643
393,FORD FOCUS 1.6 Ti-VCT Titanium DPS6 Powershift 47Ekm!Magyar.vez.szervízkönyv!,4150000,2015,5.333000000000084,47228,Benzin,125,92,1596,Automata,Megkímélt,Pezsgő (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_titanium_dps6_powershift_47ekmmagyar_vez_szervizkonyv-16215731
394,FORD FOCUS 1.5 EcoBoost Titanium,3999999,2016,4.666000000000167,120000,Benzin,150,110,1499,Manuális,Kitűnő,Piros,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_ecoboost_titanium-16266147
395,FORD FOCUS 2.0 TDCi Titanium M.-oi Végig vezetett szervizkönyv!,3999990,2017,3.0830000000000837,107000,Dízel,150,110,1997,Manuális,Kitűnő,Fehér,5,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_2_0_tdci_titanium_m_-oi_vegig_vezetett_szervizkonyv-16289792
396,FORD FOCUS 1.0 EcoBoost Titanium,3999000,2016,4,75324,Benzin,125,92,998,Manuális,Kitűnő,Fehér,3,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_ecoboost_titanium-13405553
397,FORD FOCUS ST 2.5 T Friss műszakival. új Michelin gumik és fékek!,3899990,2010,10,146200,Benzin,226,166,2521,Manuális,Megkímélt,Fehér,4,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_st_2_5_t_friss_muszakival_uj_michelin_gumik_es_fekek-16194344
398,FORD FOCUS SE Automata Hatchback 2.0L I 4,3800000,2016,4.666000000000167,66000,Benzin,160,118,2000,Automata,Kitűnő,Ezüst,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_se_automata_hatchback_2_0l_i_4-16187470
399,FORD FOCUS 1.5 TDCI Technology Magyar-Sz.könyv-5 a-KM GARANCIA,3799000,2018,2.75,109800,Dízel,120,88,1499,Manuális,Kitűnő,Fekete (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_technology_magyar-sz_konyv-5_a-km_garancia-16265434
400,FORD FOCUS 1.6 Ti-VCT Ambiente Szervizk.!51.741km!Bluetooth!Gari!,3790000,2017,2.9160000000001673,51741,Benzin,86,63,1596,Manuális,Újszerű,Kék (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_ambiente_szervizk_51_741kmbluetoothgari-16300426
401,FORD FOCUS 1.5 TDCI Technology Powershift Automata,3750000,2018,2.5830000000000837,62000,Dízel,120,88,1499,Automata,Újszerű,Ezüst,5,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_technology_powershift_automata-16300027
402,FORD FOCUS 2.0 TDCi Titanium Mo-i.Szkönyv.72.000.Km,3699000,2016,4,72000,Dízel,150,110,1997,Manuális,Normál,Fehér,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_2_0_tdci_titanium_mo-i_szkonyv_72_000_km-16109101
403,FORD FOCUS 1.0 EcoBoost Titanium M.o-i.szervizkönyv.38 000.-km,3690000,2015,5,38300,Benzin,125,92,999,Manuális,Normál,Kék,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_ecoboost_titanium_m_o-i_szervizkonyv_38_000_-km-16291364
404,FORD FOCUS 1.5 TDCI '88g' Titanium Econetic EURO6-NAVI-ÁFÁS-GARANCIA,3598900,2018,2.5830000000000837,82370,Dízel,105,77,1499,Manuális,Újszerű,Szürke (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_88g_titanium_econetic_euro6-navi-afas-garancia-15686065
405,FORD FOCUS 1.6 Ti-VCT Technology MAGYAR-1 TULAJ,3598000,2015,5.583000000000084,86224,Benzin,125,92,1596,Manuális,Kitűnő,Bordó,11,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_technology_magyar-1_tulaj-16181772
406,FORD FOCUS 1.5 TDCI Titanium MPS6 Powershiftt Szállítás alatt,3590000,2017,3.4160000000001673,148000,Dízel,120,88,1499,Automata,Kitűnő,Ezüst (metál),9,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_titanium_mps6_powershiftt_szallitas_alatt-16134303
407,FORD FOCUS 1.5 TDCI '88g' Technology Econetic Mo-i. 1 Tul. ÁFA-s!,3590000,2016,4.166000000000167,59288,Dízel,105,77,1499,Manuális,Kitűnő,Szürke (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_88g_technology_econetic_mo-i_1_tul_afa-s-16208608
408,FORD FOCUS ST 2.5 T,3550000,2010,10,184000,Benzin,226,166,2521,Manuális,Megkímélt,Fehér,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_st_2_5_t-16258523
409,FORD FOCUS 1.5 TDCI Titanium MEGKIMÉLT . ÚJSZERÜ ÁLLAPOT. POWERSHIFT,3499999,2016,4.416000000000167,115000,Dízel,120,88,1499,Automata,Kitűnő,Sötétszürke (metál),10,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_titanium_megkimelt_ujszeru_allapot_powershift-16050311
410,FORD FOCUS 1.0 EcoBoost Trend MAGYAR 1.TUL-KLÍMA-EU6-34e KM!,3490000,2016,4.75,34620,Benzin,125,92,999,Manuális,Normál,Kék (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_ecoboost_trend_magyar_1_tul-klima-eu6-34e_km-16108262
