ID,Name,Price_HUF,Registration_date,Age,Color,Cylinder_capacity_cm3,Transmission,Performance_HP,Performance_kW,Nr_pictures,Condition,Fuel_type,Kilometers,Link
126,HONDA CIVIC 1.5 T Sport Plus,5990000,2018,1.8330000000000837,Fehér (metál),1498,Manuális,182,134,12,Kitűnő,Benzin,98242,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_5_t_sport_plus-16376930
127,HONDA CIVIC 1.5 T Sport CVT Tetőablak. Ülésfűtés,5990000,2019,1.25,Ezüst (metál),1498,Automata,182,134,12,Normál,Benzin,6700,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_5_t_sport_cvt_tetoablak_ulesfutes-16511113
128,HONDA CIVIC 1.6 D Comfort Magyarországi!!,5590000,2019,1.5,Fehér (metál),1597,Manuális,120,88,9,Normál,Dízel,47000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_6_d_comfort_magyarorszagi-16336216
129,HONDA CIVIC 1.8 Exe ADAS Navi (Automata),5299000,2016,4.166000000000167,null,1798,Automata,141,104,6,Megkímélt,Benzin,62100,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_exe_adas_navi_automata-16534707
130,HONDA CIVIC 1.8 Lifestyle ADAS (Automata) 33ekm-1Tulaj-Törésmentes-Led-Navi-Automata-Szép,5250000,2016,4.333000000000084,Sötétszürke (metál),1798,Automata,141,104,12,Sérülésmentes,Benzin,33700,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_lifestyle_adas_automata_33ekm-1tulaj-toresmentes-led-navi-automata-szep-16539221
131,HONDA CIVIC 1.8 Sport Navi SZERVIZKÖNYV. XENON. NAVIGÁCIÓ. TOLATÓKAMERA. TEMPOMAT. ÜLÉSFŰTÉS. START/STOP,5090000,2016,3.8330000000000837,Barna (metál),1798,Manuális,141,104,12,Kitűnő,Benzin,98000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_navi_szervizkonyv_xenon_navigacio_tolatokamera_tempomat_ulesfutes_start_stop-16357429
132,HONDA CIVIC 1.8 Sport Navi,4990000,2015,4.833000000000084,Fehér (metál),1798,Manuális,141,104,6,Kitűnő,Benzin,86000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_navi-15909923
133,HONDA CIVIC 1.8 Elegance Navi,4990000,2016,4.166000000000167,Sötétszürke (metál),1798,Manuális,141,104,6,Sérülésmentes,Benzin,82900,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_elegance_navi-16442310
134,HONDA CIVIC 1.8 Elegance (Automata) Magánszemélytől.AUTOMATA ygöngyház fehér. Téli-nyári kerekek alufelnivel 45000km,4850000,2015,5.75,null,1798,Automata,141,104,6,Kitűnő,Benzin,45333,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_elegance_automata_maganszemelytol_automata_ygongyhaz_feher_teli-nyari_kerekek_alufelnivel_45000km-16567032
135,HONDA CIVIC 1.4 Elegance V-tec Start-stop DIGIT klíma-RÁFUTÁS GÁTLÓ Tempomat,4780000,2017,3.6660000000001673,Sötétszürke (metál),1339,Manuális,99,73,12,Sérülésmentes,Benzin,37000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_elegance_v-tec_start-stop_digit_klima-rafutas_gatlo_tempomat-16513643
