web-scraper-order,web-scraper-start-url,Pagination,Pagination-href,Open_element,Open_element-href,Name,Price,Registration_date,Condition,Kilometers,Color,Fuel_type,Cylinder_capacity,Performance,Transmission,Nr_pictures
"1602595630-402","https://www.hasznaltauto.hu/talalatilista/PDNG2VC5R7NDAEH4F74QKSMAXOV67MKVKWSAUVJ2VGX5CQUWMD6LDSDWUKBRH7555M4NAJHQSRS4N5XMR3DYAWF4RAXS7CSSMQFAENXEERWLBS66DEVUJZRPNBIJ7IIN2RBUXEMBTYXNYDHYIG5BUA72BZVPBF7MPUV7FYMQRZQQ3LRS2LDEG4URMVZQMPWHZRFGJWF2NKZG744MRDN656VMNJAYP2QIZ22P2OJCFP5O7K6IDJYGA5YSWT2JGBLZ74W6HJFAZE7OCWDTRMHPKAIDHWQ67E6TJ44AMOGC2AI47MXHE3MYW5KNANLNZMORJRR7ANQPG7WNBNZ27CULDYBZ6KSPMNXX7G5XP67742YAPP6I4AD3UTXO2AT2EZEFLXVQHGO72KDT7DQMAVEXMXJH7KS575TXXUMY7RJ2A2OIESWW6ET7XM7KVX6MMOGVVD2UA4DLVNSTD3AI6LKPUI7K3ESWHR5OIG4F2PY3K3TEL7WAJYRMABRI3HERADYD53VEX5TJRJHJJPHVTLXGZT5RBRAZS6NSE3KOIXHOX7SURAZ5IMZZKA5N4FCCDSVNNZZCSQCSCSUS4Y25UZ5BD22FVKL3CXVGPKKZVY2GB5UBW5FNBPZ65JW4GT4XYAVHRBKMK4JUGCN2TVPI6GI6FGOYOSG6MQVKO6VYYL4254R34WQDAHDBPS4LZH5YXYSEVMY44KMQT33PE4YSNZDFDIYKGEZ35AVNAY2UWCPIS3JWXZIMBZUE4UP36GK4K2C6CTMXGN7G3AJ7JJ2ZUMOVSOUQUNTIZP5GP4GX5TLDSSZ27NBUSNI6HM3HGW2GP5GVTZOAHWUM7K6CNOZZ7M7WRVY2WSRWNL77AAE5XEPG","2","https://www.hasznaltauto.hu/talalatilista/PDNG2VG3R3NDAEH5S56ECEVANS6Y7LKWIWVFBJKKPWGQMMQE4PFSBW4JCZLPY66HGFUOHMCPTHGPC6GODQPRXRDCFU7LZKDKKEUARWERSOYMLILY4VOCKCT7IWB7UAT5UAY3KFAF5B6ODFXTF6RNRUJAAODJAEVRO3AIAGS4MOSI3NNFFCFDSAXPKNSCKCXMLWJ5K3N7AJRNT5SO44EP42SBQ7TAJTXU4M7KFKGG55NBIHJYWB5QSWX2NRATS7XLHAQGRMS7MDOHHBYO6UIQG7IBY7HNFNOMZAH5AMUH4J2SPSQMUE3TQBJYYGOSWT3ZMD5LY5WT2KTUV564MTNGT4RRFGH6FUHXHL4NQ7OBCOLITR6LTTDQ73YOT6ZLCOV7ZDQF65ED3SRU6QGNDX3L2D3EPZFR77RYGIKCJWKNTPQG6Y6ZX7GXMORQ64Y6AFBUWKG37LG4NIKPSO7HVFC233YAKNNS3K33IWIOPXU7KDHY4HYH2YJ4FQYYFRMF2VXFCONJTAYFKAZDVDBXANTPKIKHWWRRENMX33JGSHWYU4QSQM7XLQDGL6ZS76PD2DXWAJO54DVUQYZYLWDO6VUJPLBFIWK6EOWGOWFBOMK6UR4BTY3FRJLYSHATHWRO3UHVF3GNTZKYPYTXQB3WCGUYNDLKMA3FHL6R4MZ4IM5R5ANM3FOUVBLB3LZYT5D3ZRQGAJGA7FQXSP3VPRK6K7JTZO2API5MR56M62OELDJKITH7QBTWDLKMYJNAPN3K7FNTORAHHDV5T7XV7NHGKWI32DCTRQ2UC746CEO4RUURDR25H7B2XUTXZT5HLH3L5UWSMSR4MB4BXOQ33IDPB3SDVUDGYLZZNZDG5772I7LP2BHMRXX6ANWSXF37/page2","FORD FOCUS 2.0 TDCi Titanium Mo-i.Szkönyv.72.000.Km","https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_2_0_tdci_titanium_mo-i_szkonyv_72_000_km-16109101","FORD FOCUS 2.0 TDCi Titanium Mo-i.Szkönyv.72.000.Km","3 699 000 Ft","2016/10","Normál","72 000 km","Fehér","Dízel","1 997 cm³","110 kW, 150 LE","Manuális (6 fokozatú)","6"
"1602595503-356","https://www.hasznaltauto.hu/talalatilista/PDNG2VC5R7NDAEH4F74QKSMAXOV67MKVKWSAUVJ2VGX5CQUWMD6LDSDWUKBRH7555M4NAJHQSRS4N5XMR3DYAWF4RAXS7CSSMQFAENXEERWLBS66DEVUJZRPNBIJ7IIN2RBUXEMBTYXNYDHYIG5BUA72BZVPBF7MPUV7FYMQRZQQ3LRS2LDEG4URMVZQMPWHZRFGJWF2NKZG744MRDN656VMNJAYP2QIZ22P2OJCFP5O7K6IDJYGA5YSWT2JGBLZ74W6HJFAZE7OCWDTRMHPKAIDHWQ67E6TJ44AMOGC2AI47MXHE3MYW5KNANLNZMORJRR7ANQPG7WNBNZ27CULDYBZ6KSPMNXX7G5XP67742YAPP6I4AD3UTXO2AT2EZEFLXVQHGO72KDT7DQMAVEXMXJH7KS575TXXUMY7RJ2A2OIESWW6ET7XM7KVX6MMOGVVD2UA4DLVNSTD3AI6LKPUI7K3ESWHR5OIG4F2PY3K3TEL7WAJYRMABRI3HERADYD53VEX5TJRJHJJPHVTLXGZT5RBRAZS6NSE3KOIXHOX7SURAZ5IMZZKA5N4FCCDSVNNZZCSQCSCSUS4Y25UZ5BD22FVKL3CXVGPKKZVY2GB5UBW5FNBPZ65JW4GT4XYAVHRBKMK4JUGCN2TVPI6GI6FGOYOSG6MQVKO6VYYL4254R34WQDAHDBPS4LZH5YXYSEVMY44KMQT33PE4YSNZDFDIYKGEZ35AVNAY2UWCPIS3JWXZIMBZUE4UP36GK4K2C6CTMXGN7G3AJ7JJ2ZUMOVSOUQUNTIZP5GP4GX5TLDSSZ27NBUSNI6HM3HGW2GP5GVTZOAHWUM7K6CNOZZ7M7WRVY2WSRWNL77AAE5XEPG","3","https://www.hasznaltauto.hu/talalatilista/PDNG2VG3R3NDAEH5S56ECEVANS6Y7LKWIWVFBJKKPWGQMMQE4PFSBW4JCZLPY66HGFUOHMCPTHGPC6GODQPRXRDCFU7LZKDKKEUARWERSOYMLILY4VOCKCT7IWB7UAT5UAY3KFAF5B6ODFXTF6RNRUJAAODJAEVRO3AIAGS4MOSI3NNFFCFDSAXPKNSCKCXMLWJ5K3N7AJRNT5SO44EP42SBQ7TAJTXU4M7KFKGG55NBIHJYWB5QSWX2NRATS7XLHAQGRMS7MDOHHBYO6UIQG7IBY7HNFNOMZAH5AMUH4J2SPSQMUE3TQBJYYGOSWT3ZMD5LY5WT2KTUV564MTNGT4RRFGH6FUHXHL4NQ7OBCOLITR6LTTDQ73YOT6ZLCOV7ZDQF65ED3SRU6QGNDX3L2D3EPZFR77RYGIKCJWKNTPQG6Y6ZX7GXMORQ64Y6AFBUWKG37LG4NIKPSO7HVFC233YAKNNS3K33IWIOPXU7KDHY4HYH2YJ4FQYYFRMF2VXFCONJTAYFKAZDVDBXANTPKIKHWWRRENMX33JGSHWYU4QSQM7XLQDGL6ZS76PD2DXWAJO54DVUQYZYLWDO6VUJPLBFIWK6EOWGOWFBOMK6UR4BTY3FRJLYSHATHWRO3UHVF3GNTZKYPYTXQB3WCGUYNDLKMA3FHL6R4MZ4IM5R5ANM3FOUVBLB3LZYT5D3ZRQGAJGA7FQXSP3VPRK6K7JTZO2API5MR56M62OELDJKITH7QBTWDLKMYJNAPN3K7FNTORAHHDV5T7XV7NHGKWI32DCTRQ2UC746CEO4RUURDR25H7B2XUTXZT5HLH3L5UWSMSR4MB4BXOQ33IDPB3SDVUDGYLZZNZDG5772I7LP2BHMRXX6ANWSXF37/page3","FORD FOCUS 1.5 EcoBoost Vignale (Automata) 13.800 KM! MO-I! 1 TUL!","https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_ecoboost_vignale_automata_13_800_km_mo-i_1_tul-16042781","FORD FOCUS 1.5 EcoBoost Vignale (Automata) 13.800 KM! MO-I! 1 TUL!","7 490 000 Ft","2019/2","Újszerű","13 800 km","null","Benzin","1 497 cm³","110 kW, 150 LE","Automata (8 fokozatú tiptronic)","6"
"1602595729-441","https://www.hasznaltauto.hu/talalatilista/PDNG2VC5R7NDAEH4F74QKSMAXOV67MKVKWSAUVJ2VGX5CQUWMD6LDSDWUKBRH7555M4NAJHQSRS4N5XMR3DYAWF4RAXS7CSSMQFAENXEERWLBS66DEVUJZRPNBIJ7IIN2RBUXEMBTYXNYDHYIG5BUA72BZVPBF7MPUV7FYMQRZQQ3LRS2LDEG4URMVZQMPWHZRFGJWF2NKZG744MRDN656VMNJAYP2QIZ22P2OJCFP5O7K6IDJYGA5YSWT2JGBLZ74W6HJFAZE7OCWDTRMHPKAIDHWQ67E6TJ44AMOGC2AI47MXHE3MYW5KNANLNZMORJRR7ANQPG7WNBNZ27CULDYBZ6KSPMNXX7G5XP67742YAPP6I4AD3UTXO2AT2EZEFLXVQHGO72KDT7DQMAVEXMXJH7KS575TXXUMY7RJ2A2OIESWW6ET7XM7KVX6MMOGVVD2UA4DLVNSTD3AI6LKPUI7K3ESWHR5OIG4F2PY3K3TEL7WAJYRMABRI3HERADYD53VEX5TJRJHJJPHVTLXGZT5RBRAZS6NSE3KOIXHOX7SURAZ5IMZZKA5N4FCCDSVNNZZCSQCSCSUS4Y25UZ5BD22FVKL3CXVGPKKZVY2GB5UBW5FNBPZ65JW4GT4XYAVHRBKMK4JUGCN2TVPI6GI6FGOYOSG6MQVKO6VYYL4254R34WQDAHDBPS4LZH5YXYSEVMY44KMQT33PE4YSNZDFDIYKGEZ35AVNAY2UWCPIS3JWXZIMBZUE4UP36GK4K2C6CTMXGN7G3AJ7JJ2ZUMOVSOUQUNTIZP5GP4GX5TLDSSZ27NBUSNI6HM3HGW2GP5GVTZOAHWUM7K6CNOZZ7M7WRVY2WSRWNL77AAE5XEPG","2","https://www.hasznaltauto.hu/talalatilista/PDNG2VG3R3NDAEH5S56ECEVANS6Y7LKWIWVFBJKKPWGQMMQE4PFSBW4JCZLPY66HGFUOHMCPTHGPC6GODQPRXRDCFU7LZKDKKEUARWERSOYMLILY4VOCKCT7IWB7UAT5UAY3KFAF5B6ODFXTF6RNRUJAAODJAEVRO3AIAGS4MOSI3NNFFCFDSAXPKNSCKCXMLWJ5K3N7AJRNT5SO44EP42SBQ7TAJTXU4M7KFKGG55NBIHJYWB5QSWX2NRATS7XLHAQGRMS7MDOHHBYO6UIQG7IBY7HNFNOMZAH5AMUH4J2SPSQMUE3TQBJYYGOSWT3ZMD5LY5WT2KTUV564MTNGT4RRFGH6FUHXHL4NQ7OBCOLITR6LTTDQ73YOT6ZLCOV7ZDQF65ED3SRU6QGNDX3L2D3EPZFR77RYGIKCJWKNTPQG6Y6ZX7GXMORQ64Y6AFBUWKG37LG4NIKPSO7HVFC233YAKNNS3K33IWIOPXU7KDHY4HYH2YJ4FQYYFRMF2VXFCONJTAYFKAZDVDBXANTPKIKHWWRRENMX33JGSHWYU4QSQM7XLQDGL6ZS76PD2DXWAJO54DVUQYZYLWDO6VUJPLBFIWK6EOWGOWFBOMK6UR4BTY3FRJLYSHATHWRO3UHVF3GNTZKYPYTXQB3WCGUYNDLKMA3FHL6R4MZ4IM5R5ANM3FOUVBLB3LZYT5D3ZRQGAJGA7FQXSP3VPRK6K7JTZO2API5MR56M62OELDJKITH7QBTWDLKMYJNAPN3K7FNTORAHHDV5T7XV7NHGKWI32DCTRQ2UC746CEO4RUURDR25H7B2XUTXZT5HLH3L5UWSMSR4MB4BXOQ33IDPB3SDVUDGYLZZNZDG5772I7LP2BHMRXX6ANWSXF37/page2","FORD FOCUS 1.5 TDCI Titanium MPS6 Powershiftt Sport belső. AUTOMATA","https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_titanium_mps6_powershiftt_sport_belso_automata-16173460","FORD FOCUS 1.5 TDCI Titanium MPS6 Powershiftt Sport belső. AUTOMATA","2 799 000 Ft","2015","Kitűnő","134 000 km","null","Dízel","1 499 cm³","88 kW, 120 LE","Automata (6 fokozatú)","8"
"1602595447-335","https://www.hasznaltauto.hu/talalatilista/PDNG2VC5R7NDAEH4F74QKSMAXOV67MKVKWSAUVJ2VGX5CQUWMD6LDSDWUKBRH7555M4NAJHQSRS4N5XMR3DYAWF4RAXS7CSSMQFAENXEERWLBS66DEVUJZRPNBIJ7IIN2RBUXEMBTYXNYDHYIG5BUA72BZVPBF7MPUV7FYMQRZQQ3LRS2LDEG4URMVZQMPWHZRFGJWF2NKZG744MRDN656VMNJAYP2QIZ22P2OJCFP5O7K6IDJYGA5YSWT2JGBLZ74W6HJFAZE7OCWDTRMHPKAIDHWQ67E6TJ44AMOGC2AI47MXHE3MYW5KNANLNZMORJRR7ANQPG7WNBNZ27CULDYBZ6KSPMNXX7G5XP67742YAPP6I4AD3UTXO2AT2EZEFLXVQHGO72KDT7DQMAVEXMXJH7KS575TXXUMY7RJ2A2OIESWW6ET7XM7KVX6MMOGVVD2UA4DLVNSTD3AI6LKPUI7K3ESWHR5OIG4F2PY3K3TEL7WAJYRMABRI3HERADYD53VEX5TJRJHJJPHVTLXGZT5RBRAZS6NSE3KOIXHOX7SURAZ5IMZZKA5N4FCCDSVNNZZCSQCSCSUS4Y25UZ5BD22FVKL3CXVGPKKZVY2GB5UBW5FNBPZ65JW4GT4XYAVHRBKMK4JUGCN2TVPI6GI6FGOYOSG6MQVKO6VYYL4254R34WQDAHDBPS4LZH5YXYSEVMY44KMQT33PE4YSNZDFDIYKGEZ35AVNAY2UWCPIS3JWXZIMBZUE4UP36GK4K2C6CTMXGN7G3AJ7JJ2ZUMOVSOUQUNTIZP5GP4GX5TLDSSZ27NBUSNI6HM3HGW2GP5GVTZOAHWUM7K6CNOZZ7M7WRVY2WSRWNL77AAE5XEPG","","","FORD FOCUS 1.6 Ti-VCT Technology NAVIGÁCIÓ. PARKOLÓ RADAR. HIBÁTLAN. GARANCIÁLIS","https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_technology_navigacio_parkolo_radar_hibatlan_garancialis-16311356","FORD FOCUS 1.6 Ti-VCT Technology NAVIGÁCIÓ. PARKOLÓ RADAR. HIBÁTLAN. GARANCIÁLIS","2 499 000 Ft","2013","Újszerű","129 870 km","Fehér (metál)","Benzin","1 596 cm³","92 kW, 125 LE","Manuális (5 fokozatú)","12"
"1602595462-341","https://www.hasznaltauto.hu/talalatilista/PDNG2VC5R7NDAEH4F74QKSMAXOV67MKVKWSAUVJ2VGX5CQUWMD6LDSDWUKBRH7555M4NAJHQSRS4N5XMR3DYAWF4RAXS7CSSMQFAENXEERWLBS66DEVUJZRPNBIJ7IIN2RBUXEMBTYXNYDHYIG5BUA72BZVPBF7MPUV7FYMQRZQQ3LRS2LDEG4URMVZQMPWHZRFGJWF2NKZG744MRDN656VMNJAYP2QIZ22P2OJCFP5O7K6IDJYGA5YSWT2JGBLZ74W6HJFAZE7OCWDTRMHPKAIDHWQ67E6TJ44AMOGC2AI47MXHE3MYW5KNANLNZMORJRR7ANQPG7WNBNZ27CULDYBZ6KSPMNXX7G5XP67742YAPP6I4AD3UTXO2AT2EZEFLXVQHGO72KDT7DQMAVEXMXJH7KS575TXXUMY7RJ2A2OIESWW6ET7XM7KVX6MMOGVVD2UA4DLVNSTD3AI6LKPUI7K3ESWHR5OIG4F2PY3K3TEL7WAJYRMABRI3HERADYD53VEX5TJRJHJJPHVTLXGZT5RBRAZS6NSE3KOIXHOX7SURAZ5IMZZKA5N4FCCDSVNNZZCSQCSCSUS4Y25UZ5BD22FVKL3CXVGPKKZVY2GB5UBW5FNBPZ65JW4GT4XYAVHRBKMK4JUGCN2TVPI6GI6FGOYOSG6MQVKO6VYYL4254R34WQDAHDBPS4LZH5YXYSEVMY44KMQT33PE4YSNZDFDIYKGEZ35AVNAY2UWCPIS3JWXZIMBZUE4UP36GK4K2C6CTMXGN7G3AJ7JJ2ZUMOVSOUQUNTIZP5GP4GX5TLDSSZ27NBUSNI6HM3HGW2GP5GVTZOAHWUM7K6CNOZZ7M7WRVY2WSRWNL77AAE5XEPG","","","FORD FOCUS 1.4 Trend Ecosport","https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_4_trend_ecosport-16242276","FORD FOCUS 1.4 Trend Ecosport","1 750 000 Ft","2010","Kitűnő","125 458 km","Fekete (metál)","Benzin","1 388 cm³","59 kW, 80 LE","Manuális (5 fokozatú)","11"
"1602595832-481","https://www.hasznaltauto.hu/talalatilista/PDNG2VC5R7NDAEH4F74QKSMAXOV67MKVKWSAUVJ2VGX5CQUWMD6LDSDWUKBRH7555M4NAJHQSRS4N5XMR3DYAWF4RAXS7CSSMQFAENXEERWLBS66DEVUJZRPNBIJ7IIN2RBUXEMBTYXNYDHYIG5BUA72BZVPBF7MPUV7FYMQRZQQ3LRS2LDEG4URMVZQMPWHZRFGJWF2NKZG744MRDN656VMNJAYP2QIZ22P2OJCFP5O7K6IDJYGA5YSWT2JGBLZ74W6HJFAZE7OCWDTRMHPKAIDHWQ67E6TJ44AMOGC2AI47MXHE3MYW5KNANLNZMORJRR7ANQPG7WNBNZ27CULDYBZ6KSPMNXX7G5XP67742YAPP6I4AD3UTXO2AT2EZEFLXVQHGO72KDT7DQMAVEXMXJH7KS575TXXUMY7RJ2A2OIESWW6ET7XM7KVX6MMOGVVD2UA4DLVNSTD3AI6LKPUI7K3ESWHR5OIG4F2PY3K3TEL7WAJYRMABRI3HERADYD53VEX5TJRJHJJPHVTLXGZT5RBRAZS6NSE3KOIXHOX7SURAZ5IMZZKA5N4FCCDSVNNZZCSQCSCSUS4Y25UZ5BD22FVKL3CXVGPKKZVY2GB5UBW5FNBPZ65JW4GT4XYAVHRBKMK4JUGCN2TVPI6GI6FGOYOSG6MQVKO6VYYL4254R34WQDAHDBPS4LZH5YXYSEVMY44KMQT33PE4YSNZDFDIYKGEZ35AVNAY2UWCPIS3JWXZIMBZUE4UP36GK4K2C6CTMXGN7G3AJ7JJ2ZUMOVSOUQUNTIZP5GP4GX5TLDSSZ27NBUSNI6HM3HGW2GP5GVTZOAHWUM7K6CNOZZ7M7WRVY2WSRWNL77AAE5XEPG","2","https://www.hasznaltauto.hu/talalatilista/PDNG2VG3R3NDAEH5S56ECEVANS6Y7LKWIWVFBJKKPWGQMMQE4PFSBW4JCZLPY66HGFUOHMCPTHGPC6GODQPRXRDCFU7LZKDKKEUARWERSOYMLILY4VOCKCT7IWB7UAT5UAY3KFAF5B6ODFXTF6RNRUJAAODJAEVRO3AIAGS4MOSI3NNFFCFDSAXPKNSCKCXMLWJ5K3N7AJRNT5SO44EP42SBQ7TAJTXU4M7KFKGG55NBIHJYWB5QSWX2NRATS7XLHAQGRMS7MDOHHBYO6UIQG7IBY7HNFNOMZAH5AMUH4J2SPSQMUE3TQBJYYGOSWT3ZMD5LY5WT2KTUV564MTNGT4RRFGH6FUHXHL4NQ7OBCOLITR6LTTDQ73YOT6ZLCOV7ZDQF65ED3SRU6QGNDX3L2D3EPZFR77RYGIKCJWKNTPQG6Y6ZX7GXMORQ64Y6AFBUWKG37LG4NIKPSO7HVFC233YAKNNS3K33IWIOPXU7KDHY4HYH2YJ4FQYYFRMF2VXFCONJTAYFKAZDVDBXANTPKIKHWWRRENMX33JGSHWYU4QSQM7XLQDGL6ZS76PD2DXWAJO54DVUQYZYLWDO6VUJPLBFIWK6EOWGOWFBOMK6UR4BTY3FRJLYSHATHWRO3UHVF3GNTZKYPYTXQB3WCGUYNDLKMA3FHL6R4MZ4IM5R5ANM3FOUVBLB3LZYT5D3ZRQGAJGA7FQXSP3VPRK6K7JTZO2API5MR56M62OELDJKITH7QBTWDLKMYJNAPN3K7FNTORAHHDV5T7XV7NHGKWI32DCTRQ2UC746CEO4RUURDR25H7B2XUTXZT5HLH3L5UWSMSR4MB4BXOQ33IDPB3SDVUDGYLZZNZDG5772I7LP2BHMRXX6ANWSXF37/page2","FORD FOCUS 1.6 SCTI Ecoboost Trend Plus","https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_scti_ecoboost_trend_plus-16011007","FORD FOCUS 1.6 SCTI Ecoboost Trend Plus","2 350 000 Ft","2011/10","Kitűnő","153 000 km","Bordó","Benzin","1 597 cm³","110 kW, 150 LE","Manuális (6 fokozatú)","6"
"1602595388-312","https://www.hasznaltauto.hu/talalatilista/PDNG2VC5R7NDAEH4F74QKSMAXOV67MKVKWSAUVJ2VGX5CQUWMD6LDSDWUKBRH7555M4NAJHQSRS4N5XMR3DYAWF4RAXS7CSSMQFAENXEERWLBS66DEVUJZRPNBIJ7IIN2RBUXEMBTYXNYDHYIG5BUA72BZVPBF7MPUV7FYMQRZQQ3LRS2LDEG4URMVZQMPWHZRFGJWF2NKZG744MRDN656VMNJAYP2QIZ22P2OJCFP5O7K6IDJYGA5YSWT2JGBLZ74W6HJFAZE7OCWDTRMHPKAIDHWQ67E6TJ44AMOGC2AI47MXHE3MYW5KNANLNZMORJRR7ANQPG7WNBNZ27CULDYBZ6KSPMNXX7G5XP67742YAPP6I4AD3UTXO2AT2EZEFLXVQHGO72KDT7DQMAVEXMXJH7KS575TXXUMY7RJ2A2OIESWW6ET7XM7KVX6MMOGVVD2UA4DLVNSTD3AI6LKPUI7K3ESWHR5OIG4F2PY3K3TEL7WAJYRMABRI3HERADYD53VEX5TJRJHJJPHVTLXGZT5RBRAZS6NSE3KOIXHOX7SURAZ5IMZZKA5N4FCCDSVNNZZCSQCSCSUS4Y25UZ5BD22FVKL3CXVGPKKZVY2GB5UBW5FNBPZ65JW4GT4XYAVHRBKMK4JUGCN2TVPI6GI6FGOYOSG6MQVKO6VYYL4254R34WQDAHDBPS4LZH5YXYSEVMY44KMQT33PE4YSNZDFDIYKGEZ35AVNAY2UWCPIS3JWXZIMBZUE4UP36GK4K2C6CTMXGN7G3AJ7JJ2ZUMOVSOUQUNTIZP5GP4GX5TLDSSZ27NBUSNI6HM3HGW2GP5GVTZOAHWUM7K6CNOZZ7M7WRVY2WSRWNL77AAE5XEPG","","","FORD FOCUS 1.4 Trend","https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_4_trend-16176409","FORD FOCUS 1.4 Trend","1 299 000 Ft","2010/9","Normál","164 258 km","Fehér","Benzin","1 388 cm³","59 kW, 80 LE","Manuális (5 fokozatú)","10"
"1602595745-447","https://www.hasznaltauto.hu/talalatilista/PDNG2VC5R7NDAEH4F74QKSMAXOV67MKVKWSAUVJ2VGX5CQUWMD6LDSDWUKBRH7555M4NAJHQSRS4N5XMR3DYAWF4RAXS7CSSMQFAENXEERWLBS66DEVUJZRPNBIJ7IIN2RBUXEMBTYXNYDHYIG5BUA72BZVPBF7MPUV7FYMQRZQQ3LRS2LDEG4URMVZQMPWHZRFGJWF2NKZG744MRDN656VMNJAYP2QIZ22P2OJCFP5O7K6IDJYGA5YSWT2JGBLZ74W6HJFAZE7OCWDTRMHPKAIDHWQ67E6TJ44AMOGC2AI47MXHE3MYW5KNANLNZMORJRR7ANQPG7WNBNZ27CULDYBZ6KSPMNXX7G5XP67742YAPP6I4AD3UTXO2AT2EZEFLXVQHGO72KDT7DQMAVEXMXJH7KS575TXXUMY7RJ2A2OIESWW6ET7XM7KVX6MMOGVVD2UA4DLVNSTD3AI6LKPUI7K3ESWHR5OIG4F2PY3K3TEL7WAJYRMABRI3HERADYD53VEX5TJRJHJJPHVTLXGZT5RBRAZS6NSE3KOIXHOX7SURAZ5IMZZKA5N4FCCDSVNNZZCSQCSCSUS4Y25UZ5BD22FVKL3CXVGPKKZVY2GB5UBW5FNBPZ65JW4GT4XYAVHRBKMK4JUGCN2TVPI6GI6FGOYOSG6MQVKO6VYYL4254R34WQDAHDBPS4LZH5YXYSEVMY44KMQT33PE4YSNZDFDIYKGEZ35AVNAY2UWCPIS3JWXZIMBZUE4UP36GK4K2C6CTMXGN7G3AJ7JJ2ZUMOVSOUQUNTIZP5GP4GX5TLDSSZ27NBUSNI6HM3HGW2GP5GVTZOAHWUM7K6CNOZZ7M7WRVY2WSRWNL77AAE5XEPG","2","https://www.hasznaltauto.hu/talalatilista/PDNG2VG3R3NDAEH5S56ECEVANS6Y7LKWIWVFBJKKPWGQMMQE4PFSBW4JCZLPY66HGFUOHMCPTHGPC6GODQPRXRDCFU7LZKDKKEUARWERSOYMLILY4VOCKCT7IWB7UAT5UAY3KFAF5B6ODFXTF6RNRUJAAODJAEVRO3AIAGS4MOSI3NNFFCFDSAXPKNSCKCXMLWJ5K3N7AJRNT5SO44EP42SBQ7TAJTXU4M7KFKGG55NBIHJYWB5QSWX2NRATS7XLHAQGRMS7MDOHHBYO6UIQG7IBY7HNFNOMZAH5AMUH4J2SPSQMUE3TQBJYYGOSWT3ZMD5LY5WT2KTUV564MTNGT4RRFGH6FUHXHL4NQ7OBCOLITR6LTTDQ73YOT6ZLCOV7ZDQF65ED3SRU6QGNDX3L2D3EPZFR77RYGIKCJWKNTPQG6Y6ZX7GXMORQ64Y6AFBUWKG37LG4NIKPSO7HVFC233YAKNNS3K33IWIOPXU7KDHY4HYH2YJ4FQYYFRMF2VXFCONJTAYFKAZDVDBXANTPKIKHWWRRENMX33JGSHWYU4QSQM7XLQDGL6ZS76PD2DXWAJO54DVUQYZYLWDO6VUJPLBFIWK6EOWGOWFBOMK6UR4BTY3FRJLYSHATHWRO3UHVF3GNTZKYPYTXQB3WCGUYNDLKMA3FHL6R4MZ4IM5R5ANM3FOUVBLB3LZYT5D3ZRQGAJGA7FQXSP3VPRK6K7JTZO2API5MR56M62OELDJKITH7QBTWDLKMYJNAPN3K7FNTORAHHDV5T7XV7NHGKWI32DCTRQ2UC746CEO4RUURDR25H7B2XUTXZT5HLH3L5UWSMSR4MB4BXOQ33IDPB3SDVUDGYLZZNZDG5772I7LP2BHMRXX6ANWSXF37/page2","FORD FOCUS 1.6 TDCi Titanium DPF EURO5","https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_tdci_titanium_dpf_euro5-16051148","FORD FOCUS 1.6 TDCi Titanium DPF EURO5","2 700 000 Ft","2011/3","Normál","65 000 km","Kék","Dízel","1 560 cm³","80 kW, 109 LE","Manuális (5 fokozatú)","5"
